,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0
2020-09-23 14:01:00,0.0,-0.5,0.0,0.5,1.0,1.5,1.0,0.5,0.0,-0.5,0.5,-0.5
2020-09-23 14:02:00,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666,0.0,-0.6666666666666666
2020-09-23 14:03:00,0.25,-0.5,-0.5,0.5,0.75,1.75,0.75,0.5,0.75,-0.5,-0.5,-0.5
2020-09-23 14:04:00,0.2,-0.4,-0.6,0.6,1.0,1.8,0.8,0.4,0.8,-0.2,-1.0,-0.6
2020-09-23 14:05:00,0.0,-0.3333333333333333,-0.5,0.6666666666666666,1.0,1.6666666666666667,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.0,-1.5,-0.6666666666666666
2020-09-23 14:06:00,-0.2857142857142857,-0.14285714285714285,-0.42857142857142855,0.5714285714285714,1.1428571428571428,1.4285714285714286,0.8571428571428571,0.42857142857142855,0.7142857142857143,0.2857142857142857,-2.0,-0.7142857142857143
2020-09-23 14:07:00,-0.375,-0.125,-0.375,0.375,1.125,1.125,0.875,0.625,0.75,0.5,-2.5,-0.625
2020-09-23 14:08:00,-0.5555555555555556,-0.2222222222222222,-0.4444444444444444,0.2222222222222222,1.0,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.6666666666666666,-3.0,-0.5555555555555556
2020-09-23 14:09:00,-0.8,-0.4,-0.5,0.2,1.0,0.7,0.7,1.1,0.9,0.8,-3.4,-0.4
2020-09-23 14:10:00,-0.9090909090909091,-0.6363636363636364,-0.45454545454545453,0.18181818181818182,1.0909090909090908,0.45454545454545453,0.6363636363636364,1.3636363636363635,0.8181818181818182,0.8181818181818182,-3.8181818181818183,-0.2727272727272727
2020-09-23 14:11:00,-1.0833333333333333,-0.75,-0.4166666666666667,0.16666666666666666,1.1666666666666667,0.16666666666666666,0.5833333333333334,1.5833333333333333,0.8333333333333334,0.9166666666666666,-4.083333333333333,-0.08333333333333333
2020-09-23 14:12:00,-1.2307692307692308,-0.9230769230769231,-0.3076923076923077,0.15384615384615385,1.1538461538461537,-0.07692307692307693,0.5384615384615384,1.8461538461538463,0.8461538461538461,1.0769230769230769,-4.384615384615385,0.0
2020-09-23 14:13:00,-1.4285714285714286,-1.0,-0.2857142857142857,0.21428571428571427,1.1428571428571428,-0.21428571428571427,0.5,2.142857142857143,0.7857142857142857,1.2857142857142858,-4.714285714285714,0.07142857142857142
2020-09-23 14:14:00,-1.5333333333333334,-1.0666666666666667,-0.26666666666666666,0.2,1.0666666666666667,-0.4,0.4,2.3333333333333335,0.6666666666666666,1.4666666666666666,-4.933333333333334,0.2
2020-09-23 14:15:00,-1.6875,-1.0625,-0.3125,0.25,1.0,-0.5,0.375,2.5,0.5,1.5625,-5.1875,0.375
2020-09-23 14:16:00,-1.8235294117647058,-1.0,-0.29411764705882354,0.23529411764705882,0.9411764705882353,-0.6470588235294118,0.29411764705882354,2.7058823529411766,0.4117647058823529,1.7058823529411764,-5.411764705882353,0.47058823529411764
